Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
0,0,0,0,0,0,0,31.3
39,30,-9,-13203,-6840,0,-6363,62.6
39,30,-9,-6840,-6840,0,0,93.9
39,30,-9,-6840,-6840,0,0,125.2
39,30,-9,-6840,-6840,0,0,156.5
39,30,-9,-6840,-6840,0,0,187.8
39,30,-9,-6840,-6840,0,0,219.10000000000002
38,30,-8,-5373,-6080,0,707,250.40000000000003
37,30,-7,-4613,-5320,0,707,281.70000000000005
37,30,-7,-5320,-5320,0,0,313.00000000000006
36,30,-6,-3853,-4560,0,707,344.30000000000007
35,30,-5,-3093,-3800,0,707,375.6000000000001
35,30,-5,-3800,-3800,0,0,406.9000000000001
34,30,-4,-2333,-3040,0,707,438.2000000000001
33,30,-3,-1573,-2280,0,707,469.5000000000001
32,30,-2,-813,-1520,0,707,500.8000000000001
31,30,-1,-53,-760,0,707,532.1000000000001
31,30,-1,-760,-760,0,0,563.4000000000001
30,30,0,707,0,0,707,594.7
30,30,0,0,0,0,0,626.0
29,30,1,1467,760,0,707,657.3
29,30,1,760,760,0,0,688.5999999999999
29,30,1,760,760,0,0,719.8999999999999
29,30,1,760,760,0,0,751.1999999999998
28,30,2,2227,1520,0,707,782.4999999999998
28,30,2,1520,1520,0,0,813.7999999999997
27,30,3,2987,2280,0,707,845.0999999999997
27,30,3,2280,2280,0,0,876.3999999999996
27,30,3,2280,2280,0,0,907.6999999999996
27,30,3,2280,2280,0,0,938.9999999999995
27,30,3,2280,2280,0,0,970.2999999999995
27,30,3,2280,2280,0,0,1001.5999999999995
26,30,4,3747,3040,0,707,1032.8999999999994
26,30,4,3040,3040,0,0,1064.1999999999994
26,30,4,3040,3040,0,0,1095.4999999999993
26,30,4,3040,3040,0,0,1126.7999999999993
26,30,4,3040,3040,0,0,1158.0999999999992
26,30,4,3040,3040,0,0,1189.3999999999992
26,30,4,3040,3040,0,0,1220.6999999999991
26,30,4,3040,3040,0,0,1251.999999999999
26,30,4,3040,3040,0,0,1283.299999999999
26,30,4,3040,3040,0,0,1314.599999999999
26,30,4,3040,3040,0,0,1345.899999999999
26,30,4,3040,3040,0,0,1377.199999999999
27,30,3,1573,2280,0,-707,1408.4999999999989
27,30,3,2280,2280,0,0,1439.7999999999988
28,30,2,813,1520,0,-707,1471.0999999999988
28,30,2,1520,1520,0,0,1502.3999999999987
29,30,1,53,760,0,-707,1533.6999999999987
29,30,1,760,760,0,0,1564.9999999999986
30,30,0,-707,0,0,-707,1596.2999999999986
30,30,0,0,0,0,0,1627.5999999999985
30,30,0,0,0,0,0,1658.8999999999985
31,30,-1,-1467,-760,0,-707,1690.1999999999985
31,30,-1,-760,-760,0,0,1721.4999999999984
31,30,-1,-760,-760,0,0,1752.7999999999984
32,30,-2,-2227,-1520,0,-707,1784.0999999999983
32,30,-2,-1520,-1520,0,0,1815.3999999999983
33,30,-3,-2987,-2280,0,-707,1846.6999999999982
33,30,-3,-2280,-2280,0,0,1877.9999999999982
33,30,-3,-2280,-2280,0,0,1909.2999999999981
33,30,-3,-2280,-2280,0,0,1940.599999999998
33,30,-3,-2280,-2280,0,0,1971.899999999998
33,30,-3,-2280,-2280,0,0,2003.199999999998
33,30,-3,-2280,-2280,0,0,2034.499999999998
33,30,-3,-2280,-2280,0,0,2065.799999999998
33,30,-3,-2280,-2280,0,0,2097.099999999998
32,30,-2,-813,-1520,0,707,2128.3999999999983
32,30,-2,-1520,-1520,0,0,2159.6999999999985
32,30,-2,-1520,-1520,0,0,2190.9999999999986
32,30,-2,-1520,-1520,0,0,2222.299999999999
32,30,-2,-1520,-1520,0,0,2253.599999999999
32,30,-2,-1520,-1520,0,0,2284.899999999999
