Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
22,30,8,6640,6640,0,0,31.3
34,30,-4,-4908,-3320,0,-1588,62.6
34,30,-4,-3320,-3320,0,0,93.9
34,30,-4,-3320,-3320,0,0,125.2
34,30,-4,-3320,-3320,0,0,156.5
34,30,-4,-3320,-3320,0,0,187.8
33,30,-3,-2093,-2490,0,397,219.10000000000002
32,30,-2,-1263,-1660,0,397,250.40000000000003
32,30,-2,-1660,-1660,0,0,281.70000000000005
32,30,-2,-1660,-1660,0,0,313.00000000000006
31,30,-1,-433,-830,0,397,344.30000000000007
31,30,-1,-830,-830,0,0,375.6000000000001
30,30,0,397,0,0,397,406.9000000000001
30,30,0,0,0,0,0,438.2000000000001
30,30,0,0,0,0,0,469.5000000000001
30,30,0,0,0,0,0,500.8000000000001
30,30,0,0,0,0,0,532.1000000000001
30,30,0,0,0,0,0,563.4000000000001
30,30,0,0,0,0,0,594.7
30,30,0,0,0,0,0,626.0
30,30,0,0,0,0,0,657.3
30,30,0,0,0,0,0,688.5999999999999
30,30,0,0,0,0,0,719.8999999999999
30,30,0,0,0,0,0,751.1999999999998
30,30,0,0,0,0,0,782.4999999999998
30,30,0,0,0,0,0,813.7999999999997
30,30,0,0,0,0,0,845.0999999999997
30,30,0,0,0,0,0,876.3999999999996
30,30,0,0,0,0,0,907.6999999999996
30,30,0,0,0,0,0,938.9999999999995
30,30,0,0,0,0,0,970.2999999999995
30,30,0,0,0,0,0,1001.5999999999995
30,30,0,0,0,0,0,1032.8999999999994
30,30,0,0,0,0,0,1064.1999999999994
31,30,-1,-1227,-830,0,-397,1095.4999999999993
31,30,-1,-830,-830,0,0,1126.7999999999993
31,30,-1,-830,-830,0,0,1158.0999999999992
32,30,-2,-2057,-1660,0,-397,1189.3999999999992
32,30,-2,-1660,-1660,0,0,1220.6999999999991
32,30,-2,-1660,-1660,0,0,1251.999999999999
32,30,-2,-1660,-1660,0,0,1283.299999999999
32,30,-2,-1660,-1660,0,0,1314.599999999999
32,30,-2,-1660,-1660,0,0,1345.899999999999
32,30,-2,-1660,-1660,0,0,1377.199999999999
32,30,-2,-1660,-1660,0,0,1408.4999999999989
32,30,-2,-1660,-1660,0,0,1439.7999999999988
32,30,-2,-1660,-1660,0,0,1471.0999999999988
32,30,-2,-1660,-1660,0,0,1502.3999999999987
32,30,-2,-1660,-1660,0,0,1533.6999999999987
32,30,-2,-1660,-1660,0,0,1564.9999999999986
32,30,-2,-1660,-1660,0,0,1596.2999999999986
32,30,-2,-1660,-1660,0,0,1627.5999999999985
32,30,-2,-1660,-1660,0,0,1658.8999999999985
31,30,-1,-433,-830,0,397,1690.1999999999985
31,30,-1,-830,-830,0,0,1721.4999999999984
31,30,-1,-830,-830,0,0,1752.7999999999984
31,30,-1,-830,-830,0,0,1784.0999999999983
31,30,-1,-830,-830,0,0,1815.3999999999983
31,30,-1,-830,-830,0,0,1846.6999999999982
31,30,-1,-830,-830,0,0,1877.9999999999982
31,30,-1,-830,-830,0,0,1909.2999999999981
31,30,-1,-830,-830,0,0,1940.599999999998
31,30,-1,-830,-830,0,0,1971.899999999998
31,30,-1,-830,-830,0,0,2003.199999999998
31,30,-1,-830,-830,0,0,2034.499999999998
31,30,-1,-830,-830,0,0,2065.799999999998
31,30,-1,-830,-830,0,0,2097.099999999998
31,30,-1,-830,-830,0,0,2128.3999999999983
32,30,-2,-2057,-1660,0,-397,2159.6999999999985
32,30,-2,-1660,-1660,0,0,2190.9999999999986
32,30,-2,-1660,-1660,0,0,2222.299999999999
32,30,-2,-1660,-1660,0,0,2253.599999999999
32,30,-2,-1660,-1660,0,0,2284.899999999999
32,30,-2,-1660,-1660,0,0,2316.1999999999994
32,30,-2,-1660,-1660,0,0,2347.4999999999995
32,30,-2,-1660,-1660,0,0,2378.7999999999997
32,30,-2,-1660,-1660,0,0,2410.1
32,30,-2,-1660,-1660,0,0,2441.4
32,30,-2,-1660,-1660,0,0,2472.7000000000003
32,30,-2,-1660,-1660,0,0,2504.0000000000005
33,30,-3,-2887,-2490,0,-397,2535.3000000000006
33,30,-3,-2490,-2490,0,0,2566.600000000001
33,30,-3,-2490,-2490,0,0,2597.900000000001
33,30,-3,-2490,-2490,0,0,2629.200000000001
33,30,-3,-2490,-2490,0,0,2660.5000000000014
33,30,-3,-2490,-2490,0,0,2691.8000000000015
33,30,-3,-2490,-2490,0,0,2723.1000000000017
33,30,-3,-2490,-2490,0,0,2754.400000000002
33,30,-3,-2490,-2490,0,0,2785.700000000002
33,30,-3,-2490,-2490,0,0,2817.0000000000023
32,30,-2,-1263,-1660,0,397,2848.3000000000025
32,30,-2,-1660,-1660,0,0,2879.6000000000026
32,30,-2,-1660,-1660,0,0,2910.900000000003
32,30,-2,-1660,-1660,0,0,2942.200000000003
31,30,-1,-433,-830,0,397,2973.500000000003
31,30,-1,-830,-830,0,0,3004.8000000000034
31,30,-1,-830,-830,0,0,3036.1000000000035
31,30,-1,-830,-830,0,0,3067.4000000000037
30,30,0,397,0,0,397,3098.700000000004
30,30,0,0,0,0,0,3130.000000000004
30,30,0,0,0,0,0,3161.3000000000043
30,30,0,0,0,0,0,3192.6000000000045
30,30,0,0,0,0,0,3223.9000000000046
30,30,0,0,0,0,0,3255.200000000005
30,30,0,0,0,0,0,3286.500000000005
30,30,0,0,0,0,0,3317.800000000005
31,30,-1,-1227,-830,0,-397,3349.1000000000054
31,30,-1,-830,-830,0,0,3380.4000000000055
31,30,-1,-830,-830,0,0,3411.7000000000057
31,30,-1,-830,-830,0,0,3443.000000000006
31,30,-1,-830,-830,0,0,3474.300000000006
31,30,-1,-830,-830,0,0,3505.6000000000063
31,30,-1,-830,-830,0,0,3536.9000000000065
32,30,-2,-2057,-1660,0,-397,3568.2000000000066
32,30,-2,-1660,-1660,0,0,3599.500000000007
32,30,-2,-1660,-1660,0,0,3630.800000000007
32,30,-2,-1660,-1660,0,0,3662.100000000007
32,30,-2,-1660,-1660,0,0,3693.4000000000074
32,30,-2,-1660,-1660,0,0,3724.7000000000075
32,30,-2,-1660,-1660,0,0,3756.0000000000077
32,30,-2,-1660,-1660,0,0,3787.300000000008
32,30,-2,-1660,-1660,0,0,3818.600000000008
32,30,-2,-1660,-1660,0,0,3849.9000000000083
32,30,-2,-1660,-1660,0,0,3881.2000000000085
32,30,-2,-1660,-1660,0,0,3912.5000000000086
32,30,-2,-1660,-1660,0,0,3943.800000000009
32,30,-2,-1660,-1660,0,0,3975.100000000009
32,30,-2,-1660,-1660,0,0,4006.400000000009
32,30,-2,-1660,-1660,0,0,4037.7000000000094
32,30,-2,-1660,-1660,0,0,4069.0000000000095
31,30,-1,-433,-830,0,397,4100.300000000009
31,30,-1,-830,-830,0,0,4131.6000000000095
32,30,-2,-2057,-1660,0,-397,4162.90000000001
32,30,-2,-1660,-1660,0,0,4194.20000000001
31,30,-1,-433,-830,0,397,4225.50000000001
30,30,0,397,0,0,397,4256.80000000001
30,30,0,0,0,0,0,4288.10000000001
30,30,0,0,0,0,0,4319.400000000011
29,30,1,1227,830,0,397,4350.700000000011
27,30,3,3284,2490,0,794,4382.000000000011
28,30,2,1263,1660,0,-397,4413.300000000011
39,30,-9,-11837,-7470,0,-4367,4444.600000000011
72,30,-42,-16384,-34860,0,-13101,4475.9000000000115
76,30,-46,-16384,-38180,0,-1588,4507.200000000012
80,30,-50,-16384,-41500,0,-1588,4538.500000000012
80,30,-50,-16384,-41500,0,0,4569.800000000012
80,30,-50,-16384,-41500,0,0,4601.100000000012
80,30,-50,-16384,-41500,0,0,4632.400000000012
80,30,-50,-16384,-41500,0,0,4663.700000000013
72,30,-42,-16384,-34860,0,3176,4695.000000000013
44,30,-14,-504,-11620,0,11116,4726.300000000013
