Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
39,30,-9,-14400,16762816,0,0,31.3
42,30,-12,-16384,16758016,0,0,62.6
40,30,-10,-16000,16761216,0,0,93.9
40,30,-10,-16000,16761216,0,0,125.2
40,30,-10,-16000,16761216,0,0,156.5
40,30,-10,-16000,16761216,0,0,187.8
40,30,-10,-16000,16761216,0,0,219.10000000000002
40,30,-10,-16000,16761216,0,0,250.40000000000003
40,30,-10,-16000,16761216,0,0,281.70000000000005
40,30,-10,-16000,16761216,0,0,313.00000000000006
40,30,-10,-16000,16761216,0,0,344.30000000000007
40,30,-10,-16000,16761216,0,0,375.6000000000001
39,30,-9,-14400,16762816,0,0,406.9000000000001
37,30,-7,-11200,16766016,0,0,438.2000000000001
36,30,-6,-9600,16767616,0,0,469.5000000000001
36,30,-6,-9600,16767616,0,0,500.8000000000001
35,30,-5,-8000,16769216,0,0,532.1000000000001
34,30,-4,-6400,16770816,0,0,563.4000000000001
34,30,-4,-6400,16770816,0,0,594.7
34,30,-4,-6400,16770816,0,0,626.0
33,30,-3,-4800,16772416,0,0,657.3
33,30,-3,-4800,16772416,0,0,688.5999999999999
33,30,-3,-4800,16772416,0,0,719.8999999999999
33,30,-3,-4800,16772416,0,0,751.1999999999998
32,30,-2,-3200,16774016,0,0,782.4999999999998
32,30,-2,-3200,16774016,0,0,813.7999999999997
31,30,-1,-1600,16775616,0,0,845.0999999999997
31,30,-1,-1600,16775616,0,0,876.3999999999996
31,30,-1,-1600,16775616,0,0,907.6999999999996
30,30,0,0,0,0,0,938.9999999999995
30,30,0,0,0,0,0,970.2999999999995
30,30,0,0,0,0,0,1001.5999999999995
29,30,1,1600,1600,0,0,1032.8999999999994
28,30,2,3200,3200,0,0,1064.1999999999994
26,30,4,6400,6400,0,0,1095.4999999999993
26,30,4,6400,6400,0,0,1126.7999999999993
25,30,5,8000,8000,0,0,1158.0999999999992
23,30,7,11200,11200,0,0,1189.3999999999992
21,30,9,14400,14400,0,0,1220.6999999999991
19,30,11,16384,17600,0,0,1251.999999999999
17,30,13,16384,20800,0,0,1283.299999999999
15,30,15,16384,24000,0,0,1314.599999999999
13,30,17,16384,27200,0,0,1345.899999999999
11,30,19,16384,30400,0,0,1377.199999999999
10,30,20,16384,32000,0,0,1408.4999999999989
10,30,20,16384,32000,0,0,1439.7999999999988
10,30,20,16384,32000,0,0,1471.0999999999988
40,30,-10,-16000,16761216,0,0,1502.3999999999987
40,30,-10,-16000,16761216,0,0,1533.6999999999987
40,30,-10,-16000,16761216,0,0,1564.9999999999986
42,30,-12,-16384,16758016,0,0,1596.2999999999986
40,30,-10,-16000,16761216,0,0,1627.5999999999985
40,30,-10,-16000,16761216,0,0,1658.8999999999985
40,30,-10,-16000,16761216,0,0,1690.1999999999985
40,30,-10,-16000,16761216,0,0,1721.4999999999984
37,30,-7,-11200,16766016,0,0,1752.7999999999984
37,30,-7,-11200,16766016,0,0,1784.0999999999983
35,30,-5,-8000,16769216,0,0,1815.3999999999983
33,30,-3,-4800,16772416,0,0,1846.6999999999982
31,30,-1,-1600,16775616,0,0,1877.9999999999982
30,30,0,0,0,0,0,1909.2999999999981
30,30,0,0,0,0,0,1940.599999999998
29,30,1,1600,1600,0,0,1971.899999999998
28,30,2,3200,3200,0,0,2003.199999999998
27,30,3,4800,4800,0,0,2034.499999999998
27,30,3,4800,4800,0,0,2065.799999999998
26,30,4,6400,6400,0,0,2097.099999999998
25,30,5,8000,8000,0,0,2128.3999999999983
25,30,5,8000,8000,0,0,2159.6999999999985
24,30,6,9600,9600,0,0,2190.9999999999986
23,30,7,11200,11200,0,0,2222.299999999999
22,30,8,12800,12800,0,0,2253.599999999999
21,30,9,14400,14400,0,0,2284.899999999999
21,30,9,14400,14400,0,0,2316.1999999999994
20,30,10,16000,16000,0,0,2347.4999999999995
20,30,10,16000,16000,0,0,2378.7999999999997
20,30,10,16000,16000,0,0,2410.1
20,30,10,16000,16000,0,0,2441.4
21,30,9,14400,14400,0,0,2472.7000000000003
22,30,8,12800,12800,0,0,2504.0000000000005
26,30,4,6400,6400,0,0,2535.3000000000006
29,30,1,1600,1600,0,0,2566.600000000001
30,30,0,0,0,0,0,2597.900000000001
34,30,-4,-6400,16770816,0,0,2629.200000000001
39,30,-9,-14400,16762816,0,0,2660.5000000000014
42,30,-12,-16384,16758016,0,0,2691.8000000000015
42,30,-12,-16384,16758016,0,0,2723.1000000000017
44,30,-14,-16384,16754816,0,0,2754.400000000002
44,30,-14,-16384,16754816,0,0,2785.700000000002
44,30,-14,-16384,16754816,0,0,2817.0000000000023
44,30,-14,-16384,16754816,0,0,2848.3000000000025
44,30,-14,-16384,16754816,0,0,2879.6000000000026
40,30,-10,-16000,16761216,0,0,2910.900000000003
39,30,-9,-14400,16762816,0,0,2942.200000000003
36,30,-6,-9600,16767616,0,0,2973.500000000003
33,30,-3,-4800,16772416,0,0,3004.8000000000034
29,30,1,1600,1600,0,0,3036.1000000000035
28,30,2,3200,3200,0,0,3067.4000000000037
26,30,4,6400,6400,0,0,3098.700000000004
25,30,5,8000,8000,0,0,3130.000000000004
23,30,7,11200,11200,0,0,3161.3000000000043
22,30,8,12800,12800,0,0,3192.6000000000045
22,30,8,12800,12800,0,0,3223.9000000000046
21,30,9,14400,14400,0,0,3255.200000000005
20,30,10,16000,16000,0,0,3286.500000000005
20,30,10,16000,16000,0,0,3317.800000000005
20,30,10,16000,16000,0,0,3349.1000000000054
20,30,10,16000,16000,0,0,3380.4000000000055
21,30,9,14400,14400,0,0,3411.7000000000057
22,30,8,12800,12800,0,0,3443.000000000006
24,30,6,9600,9600,0,0,3474.300000000006
26,30,4,6400,6400,0,0,3505.6000000000063
31,30,-1,-1600,16775616,0,0,3536.9000000000065
36,30,-6,-9600,16767616,0,0,3568.2000000000066
39,30,-9,-14400,16762816,0,0,3599.500000000007
80,30,-50,-16384,16697216,0,0,3630.800000000007
76,30,-46,-16384,16703616,0,0,3662.100000000007
76,30,-46,-16384,16703616,0,0,3693.4000000000074
76,30,-46,-16384,16703616,0,0,3724.7000000000075
