L Wheel RPM,R Wheel RPM,Wall Distance (cm),Time (ms)
0,0,0,50
0,0,30,100
0,0,30,150
0,0,30,200
0,0,30,250
0,0,30,300
0,0,30,350
0,0,30,400
0,0,30,450
0,4,30,500
4,0,30,550
0,4,30,600
4,4,30,650
4,4,30,700
8,4,30,750
4,4,30,800
8,4,30,850
12,8,29,900
8,8,29,950
4,8,29,1000
8,8,29,1050
8,4,29,1100
8,8,29,1150
12,12,30,1200
8,12,30,1250
12,12,30,1300
16,16,30,1350
16,12,30,1400
16,12,30,1450
16,12,30,1500
12,16,30,1550
20,16,30,1600
16,20,30,1650
20,20,30,1700
20,20,30,1750
24,16,30,1800
24,20,30,1850
24,16,30,1900
24,12,30,1950
24,24,29,2000
24,24,29,2050
24,20,29,2100
33,28,29,2150
28,24,29,2200
28,28,29,2250
33,20,29,2300
24,28,29,2350
33,24,29,2400
33,28,28,2450
37,28,28,2500
24,28,28,2550
37,28,28,2600
41,33,28,2650
37,16,28,2700
37,28,28,2750
37,33,28,2800
41,28,28,2850
41,37,28,2900
37,33,27,2950
33,33,27,3000
49,33,27,3050
41,37,26,3100
33,33,26,3150
41,37,26,3200
37,24,26,3250
41,33,26,3300
45,33,26,3350
41,37,25,3400
45,41,25,3450
45,41,25,3500
49,45,24,3550
41,41,24,3600
49,45,24,3650
53,37,24,3700
49,45,24,3750
45,37,24,3800
49,41,24,3850
53,33,24,3900
49,37,24,3950
49,33,24,4000
53,37,23,4050
49,41,23,4100
57,45,23,4150
57,45,22,4200
53,41,22,4250
53,49,22,4300
57,37,21,4350
61,37,21,4400
57,45,21,4450
53,41,21,4500
49,45,21,4550
45,49,21,4600
53,49,20,4650
49,41,20,4700
57,45,20,4750
53,49,19,4800
57,45,19,4850
53,41,19,4900
57,45,19,4950
57,41,19,5000
45,45,19,5050
53,45,19,5100
57,41,19,5150
57,41,19,5200
45,41,19,5250
53,41,18,5300
45,49,18,5350
53,41,18,5400
49,45,17,5450
49,45,17,5500
57,49,17,5550
53,41,16,5600
49,49,16,5650
41,41,16,5700
49,49,16,5750
53,45,16,5800
57,53,16,5850
53,49,16,5900
53,45,16,5950
45,53,16,6000
53,49,15,6050
53,41,15,6100
57,45,15,6150
57,45,15,6200
49,49,15,6250
49,45,15,6300
49,37,15,6350
57,53,14,6400
53,45,14,6450
49,49,14,6500
49,53,14,6550
57,49,14,6600
49,53,14,6650
53,57,14,6700
45,45,14,6750
45,53,14,6800
53,49,13,6850
53,45,13,6900
57,53,13,6950
49,49,13,7000
45,53,13,7050
53,41,13,7100
53,53,12,7150
57,57,12,7200
53,57,12,7250
53,49,12,7300
45,53,12,7350
49,53,12,7400
41,49,12,7450
57,53,12,7500
41,53,12,7550
41,49,12,7600
49,53,11,7650
49,45,11,7700
49,57,11,7750
45,45,11,7800
53,53,11,7850
45,57,11,7900
57,57,10,7950
53,57,10,8000
49,53,10,8050
49,57,10,8100
49,45,10,8150
49,57,10,8200
49,49,9,8250
49,57,9,8300
53,53,9,8350
53,45,9,8400
41,57,9,8450
49,49,9,8500
45,57,9,8550
49,49,9,8600
45,49,9,8650
53,57,9,8700
53,49,9,8750
45,49,9,8800
41,57,9,8850
45,49,8,8900
49,53,8,8950
49,53,8,9000
53,61,8,9050
49,57,8,9100
49,49,8,9150
45,57,19,9200
49,53,19,9250
45,57,19,9300
45,53,56,9350
49,49,56,9400
49,61,56,9450
49,49,56,9500
49,53,56,9550
49,57,56,9600
41,57,56,9650
45,57,56,9700
49,53,56,9750
45,53,56,9800
41,61,56,9850
45,61,56,9900
37,53,56,9950
45,49,56,10000
45,57,56,10050
45,57,56,10100
49,57,56,10150
45,49,56,10200
53,53,56,10250
41,53,56,10300
41,53,56,10350
45,53,56,10400
49,45,56,10450
49,53,56,10500
33,49,56,10550
49,49,56,10600
