L Wheel Tachometer Count,L Tachometer Count Setpoint,L Tachometer Count Error,R Wheel Tachometer Count,R Tachometer Count Setpoint,R Tachometer Count Error,Time (ms)
0,0,0,0,0,0,10
3,0,509,4,0,508,20
3,0,509,7,0,505,30
8,0,504,8,0,504,40
11,0,501,8,0,504,50
9,0,503,10,0,502,60
12,0,500,11,0,501,70
13,7,506,11,0,501,80
14,7,505,12,0,500,90
14,7,505,13,0,499,100
12,14,2,14,0,498,110
14,14,0,14,0,498,120
14,14,0,13,0,499,130
13,21,8,13,0,499,140
12,21,9,16,0,496,150
17,21,4,13,0,499,160
10,28,18,17,0,495,170
15,28,13,15,0,497,180
17,28,11,13,0,499,190
16,35,19,17,0,495,200
16,35,19,14,0,498,210
17,35,18,15,0,497,220
17,42,25,14,0,498,230
9,42,33,16,0,496,240
16,42,26,15,0,497,250
17,49,32,16,0,496,260
15,49,34,16,0,496,270
17,49,32,16,0,496,280
17,49,32,16,0,496,290
13,56,43,14,0,498,300
14,56,42,14,0,498,310
17,56,39,15,0,497,320
16,63,47,17,0,495,330
17,63,46,15,0,497,340
16,63,47,14,0,498,350
17,70,53,15,0,497,360
17,70,53,14,0,498,370
18,70,52,17,0,495,380
16,77,61,17,0,495,390
15,77,62,15,0,497,400
12,77,65,16,0,496,410
15,84,69,13,0,499,420
19,84,65,14,0,498,430
12,84,72,15,0,497,440
13,91,78,16,0,496,450
17,91,74,14,0,498,460
16,91,75,14,0,498,470
15,98,83,14,0,498,480
19,98,79,15,0,497,490
19,98,79,16,0,496,500
17,105,88,15,0,497,510
18,105,87,15,0,497,520
17,105,88,16,0,496,530
19,105,86,14,0,498,540
20,112,92,13,0,499,550
16,112,96,11,0,501,560
16,112,96,14,0,498,570
13,119,106,31,0,481,580
18,119,101,14,0,498,590
18,119,101,13,0,499,600
15,126,111,15,0,497,610
16,126,110,15,0,497,620
21,126,105,13,0,499,630
17,133,116,16,0,496,640
20,133,113,12,0,500,650
19,133,114,16,0,496,660
22,140,118,14,0,498,670
17,140,123,16,0,496,680
20,140,120,16,0,496,690
20,140,120,16,0,496,700
20,140,120,16,0,496,710
20,140,120,16,0,496,720
20,140,120,16,0,496,730
20,140,120,16,0,496,740
20,140,120,16,0,496,750
20,140,120,16,0,496,760
20,140,120,16,0,496,770
20,140,120,16,0,496,780
20,140,120,16,0,496,790
20,140,120,16,0,496,800
20,140,120,16,0,496,810
20,140,120,16,0,496,820
20,140,120,16,0,496,830
20,140,120,16,0,496,840
20,140,120,16,0,496,850
20,140,120,16,0,496,860
20,140,120,16,0,496,870
20,140,120,16,0,496,880
20,140,120,16,0,496,890
20,140,120,16,0,496,900
20,140,120,16,0,496,910
20,140,120,16,0,496,920
20,140,120,16,0,496,930
20,140,120,16,0,496,940
20,140,120,16,0,496,950
20,140,120,16,0,496,960
20,140,120,16,0,496,970
20,140,120,16,0,496,980
20,140,120,16,0,496,990
20,140,120,16,0,496,1000
20,140,120,16,0,496,1010
20,140,120,16,0,496,1020
20,140,120,16,0,496,1030
20,140,120,16,0,496,1040
20,140,120,16,0,496,1050
20,140,120,16,0,496,1060
20,140,120,16,0,496,1070
20,140,120,16,0,496,1080
20,140,120,16,0,496,1090
20,140,120,16,0,496,1100
20,140,120,16,0,496,1110
20,140,120,16,0,496,1120
20,140,120,16,0,496,1130
20,140,120,16,0,496,1140
20,140,120,16,0,496,1150
20,140,120,16,0,496,1160
20,140,120,16,0,496,1170
20,140,120,16,0,496,1180
20,140,120,16,0,496,1190
20,140,120,16,0,496,1200
20,140,120,16,0,496,1210
20,140,120,16,0,496,1220
20,140,120,16,0,496,1230
20,140,120,16,0,496,1240
20,140,120,16,0,496,1250
20,140,120,16,0,496,1260
20,140,120,16,0,496,1270
20,140,120,16,0,496,1280
20,140,120,16,0,496,1290
20,140,120,16,0,496,1300
20,140,120,16,0,496,1310
20,140,120,16,0,496,1320
20,140,120,16,0,496,1330
20,140,120,16,0,496,1340
20,140,120,16,0,496,1350
20,140,120,16,0,496,1360
20,140,120,16,0,496,1370
20,140,120,16,0,496,1380
20,140,120,16,0,496,1390
20,140,120,16,0,496,1400
20,140,120,16,0,496,1410
20,140,120,16,0,496,1420
20,140,120,16,0,496,1430
20,140,120,16,0,496,1440
20,140,120,16,0,496,1450
20,140,120,16,0,496,1460
20,140,120,16,0,496,1470
20,140,120,16,0,496,1480
20,140,120,16,0,496,1490
20,140,120,16,0,496,1500
20,140,120,16,0,496,1510
20,140,120,16,0,496,1520
20,140,120,16,0,496,1530
20,140,120,16,0,496,1540
20,140,120,16,0,496,1550
20,140,120,16,0,496,1560
20,140,120,16,0,496,1570
20,140,120,16,0,496,1580
20,140,120,16,0,496,1590
20,140,120,16,0,496,1600
20,140,120,16,0,496,1610
