Angular Velocity (RPM),Duty Cycle Offset,Error,Duty Cycle,Time (ms)
0,0,0,0,50
9,0,91,27000,100
66,975,34,30054,150
85,831,15,31029,200
92,543,8,31860,250
98,239,2,32403,300
101,127,-1,32642,350
106,31,-6,32769,400
109,-16,-9,32800,450
109,-96,-9,32784,500
112,-144,-12,32688,550
112,-144,-12,32544,600
112,-192,-12,32400,650
109,-192,-9,32208,700
112,-192,-12,32016,750
112,-144,-12,31824,800
109,-192,-9,31680,850
112,-192,-12,31488,900
109,-144,-9,31296,950
109,-192,-9,31152,1000
109,-144,-9,30960,1050
109,-144,-9,30816,1100
106,-144,-6,30672,1150
106,-144,-6,30528,1200
106,-96,-6,30384,1250
106,-96,-6,30288,1300
106,-96,-6,30192,1350
101,-96,-1,30096,1400
106,-96,-6,30000,1450
101,-16,-1,29904,1500
101,-96,-1,29888,1550
106,-16,-6,29792,1600
101,-16,-1,29776,1650
101,-96,-1,29760,1700
98,-16,2,29664,1750
101,-16,-1,29648,1800
98,31,2,29632,1850
98,-16,2,29663,1900
98,31,2,29647,1950
98,31,2,29678,2000
98,31,2,29709,2050
98,31,2,29740,2100
98,31,2,29771,2150
101,31,-1,29802,2200
98,31,2,29833,2250
98,-16,2,29864,2300
98,31,2,29848,2350
98,31,2,29879,2400
98,31,2,29910,2450
98,31,2,29941,2500
101,31,-1,29972,2550
98,31,2,30003,2600
101,-16,-1,30034,2650
101,31,-1,30018,2700
98,-16,2,30049,2750
101,-16,-1,30033,2800
98,31,2,30017,2850
98,-16,2,30048,2900
98,31,2,30032,2950
98,31,2,30063,3000
98,31,2,30094,3050
98,31,2,30125,3100
98,31,2,30156,3150
98,31,2,30187,3200
98,31,2,30218,3250
98,31,2,30249,3300
101,31,-1,30280,3350
101,31,-1,30311,3400
98,-16,2,30342,3450
101,-16,-1,30326,3500
101,31,-1,30310,3550
98,-16,2,30341,3600
101,-16,-1,30325,3650
101,31,-1,30309,3700
101,-16,-1,30340,3750
101,-16,-1,30324,3800
101,-16,-1,30308,3850
101,-16,-1,30292,3900
101,-16,-1,30276,3950
106,-16,-6,30260,4000
101,-16,-1,30244,4050
101,-96,-1,30228,4100
98,-16,2,30132,4150
101,-16,-1,30116,4200
