Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
0,0,0,0,0,0,0,31.3
39,30,-9,-9603,-8640,0,-963,62.6
39,30,-9,-8640,-8640,0,0,93.9
39,30,-9,-8640,-8640,0,0,125.2
40,30,-10,-9707,-9600,0,-107,156.5
40,30,-10,-9600,-9600,0,0,187.8
39,30,-9,-8533,-8640,0,107,219.10000000000002
39,30,-9,-8640,-8640,0,0,250.40000000000003
39,30,-9,-8640,-8640,0,0,281.70000000000005
38,30,-8,-7573,-7680,0,107,313.00000000000006
37,30,-7,-6613,-6720,0,107,344.30000000000007
37,30,-7,-6720,-6720,0,0,375.6000000000001
37,30,-7,-6720,-6720,0,0,406.9000000000001
36,30,-6,-5653,-5760,0,107,438.2000000000001
36,30,-6,-5760,-5760,0,0,469.5000000000001
33,30,-3,-2559,-2880,0,321,500.8000000000001
33,30,-3,-2880,-2880,0,0,532.1000000000001
32,30,-2,-1813,-1920,0,107,563.4000000000001
31,30,-1,-853,-960,0,107,594.7
30,30,0,107,0,0,107,626.0
30,30,0,0,0,0,0,657.3
29,30,1,1067,960,0,107,688.5999999999999
29,30,1,960,960,0,0,719.8999999999999
28,30,2,2027,1920,0,107,751.1999999999998
28,30,2,1920,1920,0,0,782.4999999999998
27,30,3,2987,2880,0,107,813.7999999999997
26,30,4,3947,3840,0,107,845.0999999999997
26,30,4,3840,3840,0,0,876.3999999999996
26,30,4,3840,3840,0,0,907.6999999999996
25,30,5,4907,4800,0,107,938.9999999999995
25,30,5,4800,4800,0,0,970.2999999999995
24,30,6,5867,5760,0,107,1001.5999999999995
24,30,6,5760,5760,0,0,1032.8999999999994
23,30,7,6827,6720,0,107,1064.1999999999994
23,30,7,6720,6720,0,0,1095.4999999999993
23,30,7,6720,6720,0,0,1126.7999999999993
23,30,7,6720,6720,0,0,1158.0999999999992
23,30,7,6720,6720,0,0,1189.3999999999992
23,30,7,6720,6720,0,0,1220.6999999999991
23,30,7,6720,6720,0,0,1251.999999999999
23,30,7,6720,6720,0,0,1283.299999999999
23,30,7,6720,6720,0,0,1314.599999999999
24,30,6,5653,5760,0,-107,1345.899999999999
25,30,5,4693,4800,0,-107,1377.199999999999
25,30,5,4800,4800,0,0,1408.4999999999989
26,30,4,3733,3840,0,-107,1439.7999999999988
27,30,3,2773,2880,0,-107,1471.0999999999988
28,30,2,1813,1920,0,-107,1502.3999999999987
29,30,1,853,960,0,-107,1533.6999999999987
30,30,0,-107,0,0,-107,1564.9999999999986
30,30,0,0,0,0,0,1596.2999999999986
32,30,-2,-2134,-1920,0,-214,1627.5999999999985
33,30,-3,-2987,-2880,0,-107,1658.8999999999985
34,30,-4,-3947,-3840,0,-107,1690.1999999999985
34,30,-4,-3840,-3840,0,0,1721.4999999999984
35,30,-5,-4907,-4800,0,-107,1752.7999999999984
35,30,-5,-4800,-4800,0,0,1784.0999999999983
36,30,-6,-5867,-5760,0,-107,1815.3999999999983
36,30,-6,-5760,-5760,0,0,1846.6999999999982
35,30,-5,-4693,-4800,0,107,1877.9999999999982
34,30,-4,-3733,-3840,0,107,1909.2999999999981
34,30,-4,-3840,-3840,0,0,1940.599999999998
33,30,-3,-2773,-2880,0,107,1971.899999999998
32,30,-2,-1813,-1920,0,107,2003.199999999998
31,30,-1,-853,-960,0,107,2034.499999999998
30,30,0,107,0,0,107,2065.799999999998
30,30,0,0,0,0,0,2097.099999999998
30,30,0,0,0,0,0,2128.3999999999983
29,30,1,1067,960,0,107,2159.6999999999985
29,30,1,960,960,0,0,2190.9999999999986
29,30,1,960,960,0,0,2222.299999999999
29,30,1,960,960,0,0,2253.599999999999
29,30,1,960,960,0,0,2284.899999999999
29,30,1,960,960,0,0,2316.1999999999994
30,30,0,-107,0,0,-107,2347.4999999999995
33,30,-3,-3201,-2880,0,-321,2378.7999999999997
33,30,-3,-2880,-2880,0,0,2410.1
34,30,-4,-3947,-3840,0,-107,2441.4
34,30,-4,-3840,-3840,0,0,2472.7000000000003
34,30,-4,-3840,-3840,0,0,2504.0000000000005
34,30,-4,-3840,-3840,0,0,2535.3000000000006
34,30,-4,-3840,-3840,0,0,2566.600000000001
34,30,-4,-3840,-3840,0,0,2597.900000000001
34,30,-4,-3840,-3840,0,0,2629.200000000001
34,30,-4,-3840,-3840,0,0,2660.5000000000014
33,30,-3,-2773,-2880,0,107,2691.8000000000015
33,30,-3,-2880,-2880,0,0,2723.1000000000017
33,30,-3,-2880,-2880,0,0,2754.400000000002
32,30,-2,-1813,-1920,0,107,2785.700000000002
31,30,-1,-853,-960,0,107,2817.0000000000023
31,30,-1,-960,-960,0,0,2848.3000000000025
31,30,-1,-960,-960,0,0,2879.6000000000026
30,30,0,107,0,0,107,2910.900000000003
30,30,0,0,0,0,0,2942.200000000003
30,30,0,0,0,0,0,2973.500000000003
30,30,0,0,0,0,0,3004.8000000000034
29,30,1,1067,960,0,107,3036.1000000000035
29,30,1,960,960,0,0,3067.4000000000037
29,30,1,960,960,0,0,3098.700000000004
29,30,1,960,960,0,0,3130.000000000004
29,30,1,960,960,0,0,3161.3000000000043
29,30,1,960,960,0,0,3192.6000000000045
29,30,1,960,960,0,0,3223.9000000000046
30,30,0,-107,0,0,-107,3255.200000000005
30,30,0,0,0,0,0,3286.500000000005
30,30,0,0,0,0,0,3317.800000000005
30,30,0,0,0,0,0,3349.1000000000054
30,30,0,0,0,0,0,3380.4000000000055
31,30,-1,-1067,-960,0,-107,3411.7000000000057
31,30,-1,-960,-960,0,0,3443.000000000006
31,30,-1,-960,-960,0,0,3474.300000000006
31,30,-1,-960,-960,0,0,3505.6000000000063
32,30,-2,-2027,-1920,0,-107,3536.9000000000065
32,30,-2,-1920,-1920,0,0,3568.2000000000066
32,30,-2,-1920,-1920,0,0,3599.500000000007
32,30,-2,-1920,-1920,0,0,3630.800000000007
32,30,-2,-1920,-1920,0,0,3662.100000000007
32,30,-2,-1920,-1920,0,0,3693.4000000000074
32,30,-2,-1920,-1920,0,0,3724.7000000000075
32,30,-2,-1920,-1920,0,0,3756.0000000000077
32,30,-2,-1920,-1920,0,0,3787.300000000008
32,30,-2,-1920,-1920,0,0,3818.600000000008
31,30,-1,-853,-960,0,107,3849.9000000000083
31,30,-1,-960,-960,0,0,3881.2000000000085
31,30,-1,-960,-960,0,0,3912.5000000000086
31,30,-1,-960,-960,0,0,3943.800000000009
31,30,-1,-960,-960,0,0,3975.100000000009
31,30,-1,-960,-960,0,0,4006.400000000009
32,30,-2,-2027,-1920,0,-107,4037.7000000000094
33,30,-3,-2987,-2880,0,-107,4069.0000000000095
33,30,-3,-2880,-2880,0,0,4100.300000000009
33,30,-3,-2880,-2880,0,0,4131.6000000000095
33,30,-3,-2880,-2880,0,0,4162.90000000001
33,30,-3,-2880,-2880,0,0,4194.20000000001
33,30,-3,-2880,-2880,0,0,4225.50000000001
33,30,-3,-2880,-2880,0,0,4256.80000000001
32,30,-2,-1813,-1920,0,107,4288.10000000001
32,30,-2,-1920,-1920,0,0,4319.400000000011
31,30,-1,-853,-960,0,107,4350.700000000011
31,30,-1,-960,-960,0,0,4382.000000000011
31,30,-1,-960,-960,0,0,4413.300000000011
30,30,0,107,0,0,107,4444.600000000011
30,30,0,0,0,0,0,4475.9000000000115
30,30,0,0,0,0,0,4507.200000000012
30,30,0,0,0,0,0,4538.500000000012
30,30,0,0,0,0,0,4569.800000000012
30,30,0,0,0,0,0,4601.100000000012
30,30,0,0,0,0,0,4632.400000000012
30,30,0,0,0,0,0,4663.700000000013
30,30,0,0,0,0,0,4695.000000000013
29,30,1,1067,960,0,107,4726.300000000013
30,30,0,-107,0,0,-107,4757.600000000013
30,30,0,0,0,0,0,4788.900000000013
30,30,0,0,0,0,0,4820.2000000000135
30,30,0,0,0,0,0,4851.500000000014
30,30,0,0,0,0,0,4882.800000000014
30,30,0,0,0,0,0,4914.100000000014
30,30,0,0,0,0,0,4945.400000000014
30,30,0,0,0,0,0,4976.700000000014
30,30,0,0,0,0,0,5008.000000000015
30,30,0,0,0,0,0,5039.300000000015
30,30,0,0,0,0,0,5070.600000000015
30,30,0,0,0,0,0,5101.900000000015
30,30,0,0,0,0,0,5133.200000000015
30,30,0,0,0,0,0,5164.5000000000155
30,30,0,0,0,0,0,5195.800000000016
30,30,0,0,0,0,0,5227.100000000016
30,30,0,0,0,0,0,5258.400000000016
30,30,0,0,0,0,0,5289.700000000016
30,30,0,0,0,0,0,5321.000000000016
31,30,-1,-1067,-960,0,-107,5352.300000000017
31,30,-1,-960,-960,0,0,5383.600000000017
32,30,-2,-2027,-1920,0,-107,5414.900000000017
32,30,-2,-1920,-1920,0,0,5446.200000000017
32,30,-2,-1920,-1920,0,0,5477.500000000017
32,30,-2,-1920,-1920,0,0,5508.8000000000175
32,30,-2,-1920,-1920,0,0,5540.100000000018
32,30,-2,-1920,-1920,0,0,5571.400000000018
32,30,-2,-1920,-1920,0,0,5602.700000000018
32,30,-2,-1920,-1920,0,0,5634.000000000018
32,30,-2,-1920,-1920,0,0,5665.300000000018
32,30,-2,-1920,-1920,0,0,5696.600000000019
31,30,-1,-853,-960,0,107,5727.900000000019
31,30,-1,-960,-960,0,0,5759.200000000019
31,30,-1,-960,-960,0,0,5790.500000000019
31,30,-1,-960,-960,0,0,5821.800000000019
31,30,-1,-960,-960,0,0,5853.1000000000195
31,30,-1,-960,-960,0,0,5884.40000000002
31,30,-1,-960,-960,0,0,5915.70000000002
31,30,-1,-960,-960,0,0,5947.00000000002
31,30,-1,-960,-960,0,0,5978.30000000002
31,30,-1,-960,-960,0,0,6009.60000000002
31,30,-1,-960,-960,0,0,6040.900000000021
31,30,-1,-960,-960,0,0,6072.200000000021
31,30,-1,-960,-960,0,0,6103.500000000021
31,30,-1,-960,-960,0,0,6134.800000000021
30,30,0,107,0,0,107,6166.100000000021
30,30,0,0,0,0,0,6197.4000000000215
30,30,0,0,0,0,0,6228.700000000022
30,30,0,0,0,0,0,6260.000000000022
30,30,0,0,0,0,0,6291.300000000022
30,30,0,0,0,0,0,6322.600000000022
30,30,0,0,0,0,0,6353.900000000022
31,30,-1,-1067,-960,0,-107,6385.200000000023
31,30,-1,-960,-960,0,0,6416.500000000023
31,30,-1,-960,-960,0,0,6447.800000000023
31,30,-1,-960,-960,0,0,6479.100000000023
31,30,-1,-960,-960,0,0,6510.400000000023
31,30,-1,-960,-960,0,0,6541.7000000000235
31,30,-1,-960,-960,0,0,6573.000000000024
31,30,-1,-960,-960,0,0,6604.300000000024
31,30,-1,-960,-960,0,0,6635.600000000024
31,30,-1,-960,-960,0,0,6666.900000000024
31,30,-1,-960,-960,0,0,6698.200000000024
31,30,-1,-960,-960,0,0,6729.500000000025
31,30,-1,-960,-960,0,0,6760.800000000025
31,30,-1,-960,-960,0,0,6792.100000000025
31,30,-1,-960,-960,0,0,6823.400000000025
31,30,-1,-960,-960,0,0,6854.700000000025
31,30,-1,-960,-960,0,0,6886.0000000000255
31,30,-1,-960,-960,0,0,6917.300000000026
31,30,-1,-960,-960,0,0,6948.600000000026
31,30,-1,-960,-960,0,0,6979.900000000026
31,30,-1,-960,-960,0,0,7011.200000000026
30,30,0,107,0,0,107,7042.500000000026
30,30,0,0,0,0,0,7073.800000000027
30,30,0,0,0,0,0,7105.100000000027
30,30,0,0,0,0,0,7136.400000000027
30,30,0,0,0,0,0,7167.700000000027
30,30,0,0,0,0,0,7199.000000000027
30,30,0,0,0,0,0,7230.3000000000275
31,30,-1,-1067,-960,0,-107,7261.600000000028
31,30,-1,-960,-960,0,0,7292.900000000028
31,30,-1,-960,-960,0,0,7324.200000000028
31,30,-1,-960,-960,0,0,7355.500000000028
31,30,-1,-960,-960,0,0,7386.800000000028
31,30,-1,-960,-960,0,0,7418.100000000029
31,30,-1,-960,-960,0,0,7449.400000000029
32,30,-2,-2027,-1920,0,-107,7480.700000000029
32,30,-2,-1920,-1920,0,0,7512.000000000029
33,30,-3,-2987,-2880,0,-107,7543.300000000029
33,30,-3,-2880,-2880,0,0,7574.6000000000295
34,30,-4,-3947,-3840,0,-107,7605.90000000003
34,30,-4,-3840,-3840,0,0,7637.20000000003
34,30,-4,-3840,-3840,0,0,7668.50000000003
34,30,-4,-3840,-3840,0,0,7699.80000000003
33,30,-3,-2773,-2880,0,107,7731.10000000003
33,30,-3,-2880,-2880,0,0,7762.400000000031
33,30,-3,-2880,-2880,0,0,7793.700000000031
32,30,-2,-1813,-1920,0,107,7825.000000000031
32,30,-2,-1920,-1920,0,0,7856.300000000031
31,30,-1,-853,-960,0,107,7887.600000000031
31,30,-1,-960,-960,0,0,7918.9000000000315
30,30,0,107,0,0,107,7950.200000000032
30,30,0,0,0,0,0,7981.500000000032
30,30,0,0,0,0,0,8012.800000000032
29,30,1,1067,960,0,107,8044.100000000032
29,30,1,960,960,0,0,8075.400000000032
29,30,1,960,960,0,0,8106.700000000033
29,30,1,960,960,0,0,8138.000000000033
29,30,1,960,960,0,0,8169.300000000033
29,30,1,960,960,0,0,8200.600000000033
29,30,1,960,960,0,0,8231.900000000032
29,30,1,960,960,0,0,8263.200000000032
29,30,1,960,960,0,0,8294.500000000031
29,30,1,960,960,0,0,8325.80000000003
30,30,0,-107,0,0,-107,8357.10000000003
30,30,0,0,0,0,0,8388.400000000029
30,30,0,0,0,0,0,8419.700000000028
30,30,0,0,0,0,0,8451.000000000027
31,30,-1,-1067,-960,0,-107,8482.300000000027
31,30,-1,-960,-960,0,0,8513.600000000026
31,30,-1,-960,-960,0,0,8544.900000000025
32,30,-2,-2027,-1920,0,-107,8576.200000000024
32,30,-2,-1920,-1920,0,0,8607.500000000024
32,30,-2,-1920,-1920,0,0,8638.800000000023
32,30,-2,-1920,-1920,0,0,8670.100000000022
32,30,-2,-1920,-1920,0,0,8701.400000000021
32,30,-2,-1920,-1920,0,0,8732.70000000002
32,30,-2,-1920,-1920,0,0,8764.00000000002
32,30,-2,-1920,-1920,0,0,8795.30000000002
31,30,-1,-853,-960,0,107,8826.600000000019
31,30,-1,-960,-960,0,0,8857.900000000018
31,30,-1,-960,-960,0,0,8889.200000000017
30,30,0,107,0,0,107,8920.500000000016
30,30,0,0,0,0,0,8951.800000000016
30,30,0,0,0,0,0,8983.100000000015
30,30,0,0,0,0,0,9014.400000000014
30,30,0,0,0,0,0,9045.700000000013
30,30,0,0,0,0,0,9077.000000000013
30,30,0,0,0,0,0,9108.300000000012
30,30,0,0,0,0,0,9139.600000000011
30,30,0,0,0,0,0,9170.90000000001
30,30,0,0,0,0,0,9202.20000000001
30,30,0,0,0,0,0,9233.50000000001
30,30,0,0,0,0,0,9264.800000000008
30,30,0,0,0,0,0,9296.100000000008
30,30,0,0,0,0,0,9327.400000000007
31,30,-1,-1067,-960,0,-107,9358.700000000006
31,30,-1,-960,-960,0,0,9390.000000000005
31,30,-1,-960,-960,0,0,9421.300000000005
31,30,-1,-960,-960,0,0,9452.600000000004
32,30,-2,-2027,-1920,0,-107,9483.900000000003
32,30,-2,-1920,-1920,0,0,9515.200000000003
32,30,-2,-1920,-1920,0,0,9546.500000000002
32,30,-2,-1920,-1920,0,0,9577.800000000001
32,30,-2,-1920,-1920,0,0,9609.1
33,30,-3,-2987,-2880,0,-107,9640.4
33,30,-3,-2880,-2880,0,0,9671.699999999999
32,30,-2,-1813,-1920,0,107,9702.999999999998
32,30,-2,-1920,-1920,0,0,9734.299999999997
32,30,-2,-1920,-1920,0,0,9765.599999999997
32,30,-2,-1920,-1920,0,0,9796.899999999996
32,30,-2,-1920,-1920,0,0,9828.199999999995
32,30,-2,-1920,-1920,0,0,9859.499999999995
31,30,-1,-853,-960,0,107,9890.799999999994
31,30,-1,-960,-960,0,0,9922.099999999993
31,30,-1,-960,-960,0,0,9953.399999999992
31,30,-1,-960,-960,0,0,9984.699999999992
31,30,-1,-960,-960,0,0,10015.99999999999
31,30,-1,-960,-960,0,0,10047.29999999999
30,30,0,107,0,0,107,10078.59999999999
30,30,0,0,0,0,0,10109.899999999989
30,30,0,0,0,0,0,10141.199999999988
30,30,0,0,0,0,0,10172.499999999987
30,30,0,0,0,0,0,10203.799999999987
30,30,0,0,0,0,0,10235.099999999986
30,30,0,0,0,0,0,10266.399999999985
30,30,0,0,0,0,0,10297.699999999984
