Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
0,0,0,0,0,0,0,31.3
10,30,20,16384,10200,0,11140,62.6
10,30,20,10200,10200,0,0,93.9
10,30,20,10200,10200,0,0,125.2
10,30,20,10200,10200,0,0,156.5
39,30,-9,-9153,-4590,0,-4563,187.8
39,30,-9,-4590,-4590,0,0,219.10000000000002
39,30,-9,-4590,-4590,0,0,250.40000000000003
39,30,-9,-4590,-4590,0,0,281.70000000000005
39,30,-9,-4590,-4590,0,0,313.00000000000006
39,30,-9,-4590,-4590,0,0,344.30000000000007
39,30,-9,-4590,-4590,0,0,375.6000000000001
39,30,-9,-4590,-4590,0,0,406.9000000000001
39,30,-9,-4590,-4590,0,0,438.2000000000001
37,30,-7,-2556,-3570,0,1014,469.5000000000001
37,30,-7,-3570,-3570,0,0,500.8000000000001
37,30,-7,-3570,-3570,0,0,532.1000000000001
35,30,-5,-1536,-2550,0,1014,563.4000000000001
34,30,-4,-1533,-2040,0,507,594.7
34,30,-4,-2040,-2040,0,0,626.0
34,30,-4,-2040,-2040,0,0,657.3
33,30,-3,-1023,-1530,0,507,688.5999999999999
32,30,-2,-513,-1020,0,507,719.8999999999999
32,30,-2,-1020,-1020,0,0,751.1999999999998
32,30,-2,-1020,-1020,0,0,782.4999999999998
31,30,-1,-3,-510,0,507,813.7999999999997
31,30,-1,-510,-510,0,0,845.0999999999997
31,30,-1,-510,-510,0,0,876.3999999999996
31,30,-1,-510,-510,0,0,907.6999999999996
30,30,0,507,0,0,507,938.9999999999995
30,30,0,0,0,0,0,970.2999999999995
30,30,0,0,0,0,0,1001.5999999999995
30,30,0,0,0,0,0,1032.8999999999994
29,30,1,1017,510,0,507,1064.1999999999994
29,30,1,510,510,0,0,1095.4999999999993
29,30,1,510,510,0,0,1126.7999999999993
29,30,1,510,510,0,0,1158.0999999999992
29,30,1,510,510,0,0,1189.3999999999992
29,30,1,510,510,0,0,1220.6999999999991
29,30,1,510,510,0,0,1251.999999999999
