Wall Distance (cm),Setpoint (cm),Error (cm),Duty Cycle Offset,Proportional Term,Integral Term,Derivative Term,Time (ms)
0,0,0,0,0,0,0,31.3
70,30,-40,-4000,16773216,0,0,62.6
70,30,-40,-4000,16773216,0,0,93.9
68,30,-38,-2400,16773416,0,0,125.2
62,30,-32,1000,16774016,0,0,156.5
48,30,-18,8000,16775416,0,0,187.8
11,30,19,16384,1900,0,0,219.10000000000002
10,30,20,2700,2000,0,0,250.40000000000003
11,30,19,1200,1900,0,0,281.70000000000005
15,30,15,-1300,1500,0,0,313.00000000000006
13,30,17,3100,1700,0,0,344.30000000000007
10,30,20,4100,2000,0,0,375.6000000000001
10,30,20,2000,2000,0,0,406.9000000000001
10,30,20,2000,2000,0,0,438.2000000000001
10,30,20,2000,2000,0,0,469.5000000000001
10,30,20,2000,2000,0,0,500.8000000000001
10,30,20,2000,2000,0,0,532.1000000000001
10,30,20,2000,2000,0,0,563.4000000000001
10,30,20,2000,2000,0,0,594.7
10,30,20,2000,2000,0,0,626.0
10,30,20,2000,2000,0,0,657.3
10,30,20,2000,2000,0,0,688.5999999999999
10,30,20,2000,2000,0,0,719.8999999999999
10,30,20,2000,2000,0,0,751.1999999999998
10,30,20,2000,2000,0,0,782.4999999999998
10,30,20,2000,2000,0,0,813.7999999999997
10,30,20,2000,2000,0,0,845.0999999999997
10,30,20,2000,2000,0,0,876.3999999999996
10,30,20,2000,2000,0,0,907.6999999999996
10,30,20,2000,2000,0,0,938.9999999999995
10,30,20,2000,2000,0,0,970.2999999999995
10,30,20,2000,2000,0,0,1001.5999999999995
10,30,20,2000,2000,0,0,1032.8999999999994
10,30,20,2000,2000,0,0,1064.1999999999994
10,30,20,2000,2000,0,0,1095.4999999999993
11,30,19,1200,1900,0,0,1126.7999999999993
11,30,19,1900,1900,0,0,1158.0999999999992
12,30,18,1100,1800,0,0,1189.3999999999992
13,30,17,1000,1700,0,0,1220.6999999999991
14,30,16,900,1600,0,0,1251.999999999999
15,30,15,800,1500,0,0,1283.299999999999
15,30,15,1500,1500,0,0,1314.599999999999
17,30,13,-100,1300,0,0,1345.899999999999
18,30,12,500,1200,0,0,1377.199999999999
18,30,12,1200,1200,0,0,1408.4999999999989
19,30,11,400,1100,0,0,1439.7999999999988
19,30,11,1100,1100,0,0,1471.0999999999988
20,30,10,300,1000,0,0,1502.3999999999987
20,30,10,1000,1000,0,0,1533.6999999999987
21,30,9,200,900,0,0,1564.9999999999986
22,30,8,100,800,0,0,1596.2999999999986
22,30,8,800,800,0,0,1627.5999999999985
22,30,8,800,800,0,0,1658.8999999999985
23,30,7,0,700,0,0,1690.1999999999985
23,30,7,700,700,0,0,1721.4999999999984
23,30,7,700,700,0,0,1752.7999999999984
24,30,6,-100,600,0,0,1784.0999999999983
24,30,6,600,600,0,0,1815.3999999999983
25,30,5,-200,500,0,0,1846.6999999999982
25,30,5,500,500,0,0,1877.9999999999982
25,30,5,500,500,0,0,1909.2999999999981
26,30,4,2500,400,5600,0,1940.599999999998
26,30,4,6000,400,8400,0,1971.899999999998
26,30,4,8800,400,11200,0,2003.199999999998
26,30,4,11600,400,14000,0,2034.499999999998
26,30,4,14400,400,16800,0,2065.799999999998
25,30,5,1200,500,0,0,2097.099999999998
25,30,5,500,500,0,0,2128.3999999999983
25,30,5,500,500,0,0,2159.6999999999985
24,30,6,1300,600,0,0,2190.9999999999986
23,30,7,1400,700,0,0,2222.299999999999
22,30,8,1500,800,0,0,2253.599999999999
21,30,9,1600,900,0,0,2284.899999999999
21,30,9,900,900,0,0,2316.1999999999994
20,30,10,1700,1000,0,0,2347.4999999999995
19,30,11,1800,1100,0,0,2378.7999999999997
18,30,12,1900,1200,0,0,2410.1
18,30,12,1200,1200,0,0,2441.4
17,30,13,2000,1300,0,0,2472.7000000000003
17,30,13,1300,1300,0,0,2504.0000000000005
17,30,13,1300,1300,0,0,2535.3000000000006
16,30,14,2100,1400,0,0,2566.600000000001
16,30,14,1400,1400,0,0,2597.900000000001
16,30,14,1400,1400,0,0,2629.200000000001
16,30,14,1400,1400,0,0,2660.5000000000014
15,30,15,2200,1500,0,0,2691.8000000000015
15,30,15,1500,1500,0,0,2723.1000000000017
15,30,15,1500,1500,0,0,2754.400000000002
14,30,16,2300,1600,0,0,2785.700000000002
14,30,16,1600,1600,0,0,2817.0000000000023
13,30,17,2400,1700,0,0,2848.3000000000025
13,30,17,1700,1700,0,0,2879.6000000000026
13,30,17,1700,1700,0,0,2910.900000000003
12,30,18,2500,1800,0,0,2942.200000000003
12,30,18,1800,1800,0,0,2973.500000000003
12,30,18,1800,1800,0,0,3004.8000000000034
11,30,19,2600,1900,0,0,3036.1000000000035
11,30,19,1900,1900,0,0,3067.4000000000037
11,30,19,1900,1900,0,0,3098.700000000004
10,30,20,2700,2000,0,0,3130.000000000004
10,30,20,2000,2000,0,0,3161.3000000000043
10,30,20,2000,2000,0,0,3192.6000000000045
10,30,20,2000,2000,0,0,3223.9000000000046
10,30,20,2000,2000,0,0,3255.200000000005
10,30,20,2000,2000,0,0,3286.500000000005
10,30,20,2000,2000,0,0,3317.800000000005
10,30,20,2000,2000,0,0,3349.1000000000054
10,30,20,2000,2000,0,0,3380.4000000000055
11,30,19,1200,1900,0,0,3411.7000000000057
11,30,19,1900,1900,0,0,3443.000000000006
12,30,18,1100,1800,0,0,3474.300000000006
12,30,18,1800,1800,0,0,3505.6000000000063
13,30,17,1000,1700,0,0,3536.9000000000065
13,30,17,1700,1700,0,0,3568.2000000000066
14,30,16,900,1600,0,0,3599.500000000007
15,30,15,800,1500,0,0,3630.800000000007
15,30,15,1500,1500,0,0,3662.100000000007
16,30,14,700,1400,0,0,3693.4000000000074
16,30,14,1400,1400,0,0,3724.7000000000075
17,30,13,600,1300,0,0,3756.0000000000077
17,30,13,1300,1300,0,0,3787.300000000008
18,30,12,500,1200,0,0,3818.600000000008
18,30,12,1200,1200,0,0,3849.9000000000083
18,30,12,1200,1200,0,0,3881.2000000000085
19,30,11,400,1100,0,0,3912.5000000000086
19,30,11,1100,1100,0,0,3943.800000000009
20,30,10,300,1000,0,0,3975.100000000009
20,30,10,1000,1000,0,0,4006.400000000009
20,30,10,1000,1000,0,0,4037.7000000000094
21,30,9,200,900,0,0,4069.0000000000095
21,30,9,900,900,0,0,4100.300000000009
21,30,9,900,900,0,0,4131.6000000000095
22,30,8,100,800,0,0,4162.90000000001
22,30,8,800,800,0,0,4194.20000000001
22,30,8,800,800,0,0,4225.50000000001
22,30,8,800,800,0,0,4256.80000000001
22,30,8,800,800,0,0,4288.10000000001
23,30,7,0,700,0,0,4319.400000000011
23,30,7,700,700,0,0,4350.700000000011
23,30,7,700,700,0,0,4382.000000000011
24,30,6,-100,600,0,0,4413.300000000011
24,30,6,600,600,0,0,4444.600000000011
25,30,5,-200,500,0,0,4475.9000000000115
25,30,5,500,500,0,0,4507.200000000012
26,30,4,2500,400,5600,0,4538.500000000012
27,30,3,4500,300,7000,0,4569.800000000012
27,30,3,7300,300,9100,0,4601.100000000012
27,30,3,9400,300,11200,0,4632.400000000012
27,30,3,11500,300,13300,0,4663.700000000013
26,30,4,15100,400,16800,0,4695.000000000013
25,30,5,1200,500,0,0,4726.300000000013
24,30,6,1300,600,0,0,4757.600000000013
23,30,7,1400,700,0,0,4788.900000000013
21,30,9,2300,900,0,0,4820.2000000000135
19,30,11,2500,1100,0,0,4851.500000000014
18,30,12,1900,1200,0,0,4882.800000000014
17,30,13,2000,1300,0,0,4914.100000000014
15,30,15,2900,1500,0,0,4945.400000000014
14,30,16,2300,1600,0,0,4976.700000000014
13,30,17,2400,1700,0,0,5008.000000000015
13,30,17,1700,1700,0,0,5039.300000000015
12,30,18,2500,1800,0,0,5070.600000000015
11,30,19,2600,1900,0,0,5101.900000000015
10,30,20,2700,2000,0,0,5133.200000000015
10,30,20,2000,2000,0,0,5164.5000000000155
10,30,20,2000,2000,0,0,5195.800000000016
10,30,20,2000,2000,0,0,5227.100000000016
10,30,20,2000,2000,0,0,5258.400000000016
10,30,20,2000,2000,0,0,5289.700000000016
10,30,20,2000,2000,0,0,5321.000000000016
10,30,20,2000,2000,0,0,5352.300000000017
10,30,20,2000,2000,0,0,5383.600000000017
10,30,20,2000,2000,0,0,5414.900000000017
10,30,20,2000,2000,0,0,5446.200000000017
10,30,20,2000,2000,0,0,5477.500000000017
