Wall Distance (cm),Setpoint (cm),Time (ms)
16,15,31.3
9,15,62.6
7,15,93.9
9,15,125.2
15,15,156.5
16,15,187.8
18,15,219.10000000000002
18,15,250.40000000000003
19,15,281.70000000000005
19,15,313.00000000000006
19,15,344.30000000000007
19,15,375.6000000000001
19,15,406.9000000000001
19,15,438.2000000000001
19,15,469.5000000000001
18,15,500.8000000000001
18,15,532.1000000000001
18,15,563.4000000000001
18,15,594.7
17,15,626.0
17,15,657.3
17,15,688.5999999999999
16,15,719.8999999999999
16,15,751.1999999999998
16,15,782.4999999999998
16,15,813.7999999999997
16,15,845.0999999999997
16,15,876.3999999999996
16,15,907.6999999999996
16,15,938.9999999999995
16,15,970.2999999999995
16,15,1001.5999999999995
16,15,1032.8999999999994
16,15,1064.1999999999994
16,15,1095.4999999999993
16,15,1126.7999999999993
16,15,1158.0999999999992
16,15,1189.3999999999992
15,15,1220.6999999999991
15,15,1251.999999999999
15,15,1283.299999999999
15,15,1314.599999999999
15,15,1345.899999999999
15,15,1377.199999999999
15,15,1408.4999999999989
14,15,1439.7999999999988
14,15,1471.0999999999988
14,15,1502.3999999999987
14,15,1533.6999999999987
14,15,1564.9999999999986
14,15,1596.2999999999986
14,15,1627.5999999999985
14,15,1658.8999999999985
14,15,1690.1999999999985
14,15,1721.4999999999984
14,15,1752.7999999999984
14,15,1784.0999999999983
14,15,1815.3999999999983
14,15,1846.6999999999982
14,15,1877.9999999999982
14,15,1909.2999999999981
14,15,1940.599999999998
14,15,1971.899999999998
14,15,2003.199999999998
14,15,2034.499999999998
14,15,2065.799999999998
14,15,2097.099999999998
14,15,2128.3999999999983
14,15,2159.6999999999985
14,15,2190.9999999999986
14,15,2222.299999999999
14,15,2253.599999999999
14,15,2284.899999999999
14,15,2316.1999999999994
14,15,2347.4999999999995
14,15,2378.7999999999997
14,15,2410.1
14,15,2441.4
14,15,2472.7000000000003
14,15,2504.0000000000005
14,15,2535.3000000000006
14,15,2566.600000000001
14,15,2597.900000000001
14,15,2629.200000000001
14,15,2660.5000000000014
14,15,2691.8000000000015
14,15,2723.1000000000017
14,15,2754.400000000002
14,15,2785.700000000002
14,15,2817.0000000000023
14,15,2848.3000000000025
14,15,2879.6000000000026
14,15,2910.900000000003
14,15,2942.200000000003
14,15,2973.500000000003
14,15,3004.8000000000034
14,15,3036.1000000000035
14,15,3067.4000000000037
14,15,3098.700000000004
14,15,3130.000000000004
15,15,3161.3000000000043
15,15,3192.6000000000045
14,15,3223.9000000000046
15,15,3255.200000000005
15,15,3286.500000000005
15,15,3317.800000000005
15,15,3349.1000000000054
15,15,3380.4000000000055
15,15,3411.7000000000057
15,15,3443.000000000006
15,15,3474.300000000006
15,15,3505.6000000000063
15,15,3536.9000000000065
15,15,3568.2000000000066
15,15,3599.500000000007
15,15,3630.800000000007
15,15,3662.100000000007
15,15,3693.4000000000074
15,15,3724.7000000000075
15,15,3756.0000000000077
15,15,3787.300000000008
15,15,3818.600000000008
15,15,3849.9000000000083
15,15,3881.2000000000085
15,15,3912.5000000000086
15,15,3943.800000000009
15,15,3975.100000000009
15,15,4006.400000000009
15,15,4037.7000000000094
16,15,4069.0000000000095
16,15,4100.300000000009
16,15,4131.6000000000095
16,15,4162.90000000001
16,15,4194.20000000001
16,15,4225.50000000001
16,15,4256.80000000001
16,15,4288.10000000001
15,15,4319.400000000011
15,15,4350.700000000011
15,15,4382.000000000011
15,15,4413.300000000011
15,15,4444.600000000011
15,15,4475.9000000000115
15,15,4507.200000000012
15,15,4538.500000000012
15,15,4569.800000000012
15,15,4601.100000000012
15,15,4632.400000000012
15,15,4663.700000000013
15,15,4695.000000000013
15,15,4726.300000000013
15,15,4757.600000000013
16,15,4788.900000000013
16,15,4820.2000000000135
16,15,4851.500000000014
16,15,4882.800000000014
16,15,4914.100000000014
16,15,4945.400000000014
16,15,4976.700000000014
16,15,5008.000000000015
16,15,5039.300000000015
16,15,5070.600000000015
16,15,5101.900000000015
16,15,5133.200000000015
16,15,5164.5000000000155
16,15,5195.800000000016
16,15,5227.100000000016
16,15,5258.400000000016
16,15,5289.700000000016
16,15,5321.000000000016
16,15,5352.300000000017
16,15,5383.600000000017
16,15,5414.900000000017
16,15,5446.200000000017
16,15,5477.500000000017
15,15,5508.8000000000175
15,15,5540.100000000018
15,15,5571.400000000018
15,15,5602.700000000018
15,15,5634.000000000018
15,15,5665.300000000018
15,15,5696.600000000019
15,15,5727.900000000019
15,15,5759.200000000019
15,15,5790.500000000019
15,15,5821.800000000019
15,15,5853.1000000000195
15,15,5884.40000000002
15,15,5915.70000000002
15,15,5947.00000000002
15,15,5978.30000000002
15,15,6009.60000000002
15,15,6040.900000000021
15,15,6072.200000000021
15,15,6103.500000000021
15,15,6134.800000000021
15,15,6166.100000000021
16,15,6197.4000000000215
16,15,6228.700000000022
16,15,6260.000000000022
16,15,6291.300000000022
16,15,6322.600000000022
16,15,6353.900000000022
16,15,6385.200000000023
16,15,6416.500000000023
16,15,6447.800000000023
16,15,6479.100000000023
16,15,6510.400000000023
16,15,6541.7000000000235
16,15,6573.000000000024
16,15,6604.300000000024
16,15,6635.600000000024
16,15,6666.900000000024
16,15,6698.200000000024
16,15,6729.500000000025
16,15,6760.800000000025
16,15,6792.100000000025
16,15,6823.400000000025
16,15,6854.700000000025
16,15,6886.0000000000255
16,15,6917.300000000026
15,15,6948.600000000026
15,15,6979.900000000026
16,15,7011.200000000026
18,15,7042.500000000026
19,15,7073.800000000027
21,15,7105.100000000027
25,15,7136.400000000027
30,15,7167.700000000027
31,15,7199.000000000027
32,15,7230.3000000000275
33,15,7261.600000000028
33,15,7292.900000000028
32,15,7324.200000000028
31,15,7355.500000000028
30,15,7386.800000000028
28,15,7418.100000000029
28,15,7449.400000000029
24,15,7480.700000000029
21,15,7512.000000000029
18,15,7543.300000000029
15,15,7574.6000000000295
12,15,7605.90000000003
10,15,7637.20000000003
10,15,7668.50000000003
9,15,7699.80000000003
10,15,7731.10000000003
12,15,7762.400000000031
15,15,7793.700000000031
19,15,7825.000000000031
26,15,7856.300000000031
28,15,7887.600000000031
29,15,7918.9000000000315
30,15,7950.200000000032
31,15,7981.500000000032
32,15,8012.800000000032
31,15,8044.100000000032
30,15,8075.400000000032
29,15,8106.700000000033
27,15,8138.000000000033
27,15,8169.300000000033
28,15,8200.600000000033
28,15,8231.900000000032
28,15,8263.200000000032
26,15,8294.500000000031
26,15,8325.80000000003
26,15,8357.10000000003
26,15,8388.400000000029
26,15,8419.700000000028
25,15,8451.000000000027
25,15,8482.300000000027
26,15,8513.600000000026
26,15,8544.900000000025
27,15,8576.200000000024
28,15,8607.500000000024
28,15,8638.800000000023
28,15,8670.100000000022
28,15,8701.400000000021
26,15,8732.70000000002
26,15,8764.00000000002
27,15,8795.30000000002
28,15,8826.600000000019
30,15,8857.900000000018
32,15,8889.200000000017
33,15,8920.500000000016
34,15,8951.800000000016
35,15,8983.100000000015
32,15,9014.400000000014
33,15,9045.700000000013
38,15,9077.000000000013
48,15,9108.300000000012
56,15,9139.600000000011
56,15,9170.90000000001
42,15,9202.20000000001
27,15,9233.50000000001
24,15,9264.800000000008
56,15,9296.100000000008
44,15,9327.400000000007
45,15,9358.700000000006
44,15,9390.000000000005
31,15,9421.300000000005
33,15,9452.600000000004
33,15,9483.900000000003
33,15,9515.200000000003
31,15,9546.500000000002
32,15,9577.800000000001
32,15,9609.1
31,15,9640.4
31,15,9671.699999999999
31,15,9702.999999999998
31,15,9734.299999999997
31,15,9765.599999999997
31,15,9796.899999999996
32,15,9828.199999999995
31,15,9859.499999999995
30,15,9890.799999999994
30,15,9922.099999999993
30,15,9953.399999999992
32,15,9984.699999999992
31,15,10015.99999999999
31,15,10047.29999999999
33,15,10078.59999999999
50,15,10109.899999999989
56,15,10141.199999999988
56,15,10172.499999999987
43,15,10203.799999999987
28,15,10235.099999999986
21,15,10266.399999999985
18,15,10297.699999999984
16,15,10328.999999999984
14,15,10360.299999999983
12,15,10391.599999999982
9,15,10422.899999999981
9,15,10454.19999999998
9,15,10485.49999999998
9,15,10516.79999999998
9,15,10548.099999999979
9,15,10579.399999999978
9,15,10610.699999999977
10,15,10641.999999999976
11,15,10673.299999999976
12,15,10704.599999999975
12,15,10735.899999999974
12,15,10767.199999999973
13,15,10798.499999999973
14,15,10829.799999999972
14,15,10861.099999999971
14,15,10892.39999999997
15,15,10923.69999999997
16,15,10954.999999999969
16,15,10986.299999999968
16,15,11017.599999999968
16,15,11048.899999999967
17,15,11080.199999999966
18,15,11111.499999999965
19,15,11142.799999999965
19,15,11174.099999999964
19,15,11205.399999999963
19,15,11236.699999999963
19,15,11267.999999999962
19,15,11299.299999999961
19,15,11330.59999999996
19,15,11361.89999999996
19,15,11393.199999999959
19,15,11424.499999999958
19,15,11455.799999999957
19,15,11487.099999999957
19,15,11518.399999999956
19,15,11549.699999999955
19,15,11580.999999999955
19,15,11612.299999999954
19,15,11643.599999999953
19,15,11674.899999999952
19,15,11706.199999999952
19,15,11737.49999999995
19,15,11768.79999999995
19,15,11800.09999999995
19,15,11831.399999999949
18,15,11862.699999999948
18,15,11893.999999999947
18,15,11925.299999999947
18,15,11956.599999999946
18,15,11987.899999999945
18,15,12019.199999999944
17,15,12050.499999999944
17,15,12081.799999999943
17,15,12113.099999999942
17,15,12144.399999999941
17,15,12175.69999999994
17,15,12206.99999999994
17,15,12238.29999999994
17,15,12269.599999999939
17,15,12300.899999999938
17,15,12332.199999999937
17,15,12363.499999999936
17,15,12394.799999999936
17,15,12426.099999999935
16,15,12457.399999999934
16,15,12488.699999999933
16,15,12519.999999999933
16,15,12551.299999999932
16,15,12582.599999999931
16,15,12613.89999999993
16,15,12645.19999999993
16,15,12676.499999999929
16,15,12707.799999999928
16,15,12739.099999999928
16,15,12770.399999999927
16,15,12801.699999999926
16,15,12832.999999999925
17,15,12864.299999999925
17,15,12895.599999999924
17,15,12926.899999999923
17,15,12958.199999999923
17,15,12989.499999999922
17,15,13020.799999999921
17,15,13052.09999999992
17,15,13083.39999999992
17,15,13114.699999999919
17,15,13145.999999999918
17,15,13177.299999999917
17,15,13208.599999999917
17,15,13239.899999999916
17,15,13271.199999999915
17,15,13302.499999999915
17,15,13333.799999999914
16,15,13365.099999999913
17,15,13396.399999999912
17,15,13427.699999999912
16,15,13458.99999999991
16,15,13490.29999999991
16,15,13521.59999999991
16,15,13552.899999999909
16,15,13584.199999999908
16,15,13615.499999999907
16,15,13646.799999999907
16,15,13678.099999999906
16,15,13709.399999999905
16,15,13740.699999999904
16,15,13771.999999999904
16,15,13803.299999999903
16,15,13834.599999999902
16,15,13865.899999999901
16,15,13897.1999999999
16,15,13928.4999999999
16,15,13959.7999999999
16,15,13991.099999999899
16,15,14022.399999999898
16,15,14053.699999999897
16,15,14084.999999999896
16,15,14116.299999999896
16,15,14147.599999999895
16,15,14178.899999999894
16,15,14210.199999999893
16,15,14241.499999999893
16,15,14272.799999999892
16,15,14304.099999999891
16,15,14335.39999999989
16,15,14366.69999999989
16,15,14397.999999999889
16,15,14429.299999999888
16,15,14460.599999999888
16,15,14491.899999999887
16,15,14523.199999999886
16,15,14554.499999999885
16,15,14585.799999999885
16,15,14617.099999999884
16,15,14648.399999999883
16,15,14679.699999999882
16,15,14710.999999999882
16,15,14742.299999999881
16,15,14773.59999999988
16,15,14804.89999999988
16,15,14836.199999999879
16,15,14867.499999999878
16,15,14898.799999999877
16,15,14930.099999999877
16,15,14961.399999999876
16,15,14992.699999999875
16,15,15023.999999999874
16,15,15055.299999999874
16,15,15086.599999999873
16,15,15117.899999999872
16,15,15149.199999999872
16,15,15180.49999999987
16,15,15211.79999999987
16,15,15243.09999999987
16,15,15274.399999999869
16,15,15305.699999999868
16,15,15336.999999999867
16,15,15368.299999999866
16,15,15399.599999999866
16,15,15430.899999999865
16,15,15462.199999999864
16,15,15493.499999999864
16,15,15524.799999999863
16,15,15556.099999999862
16,15,15587.399999999861
16,15,15618.69999999986
16,15,15649.99999999986
16,15,15681.29999999986
16,15,15712.599999999858
16,15,15743.899999999858
15,15,15775.199999999857
15,15,15806.499999999856
16,15,15837.799999999856
15,15,15869.099999999855
15,15,15900.399999999854
15,15,15931.699999999853
15,15,15962.999999999853
15,15,15994.299999999852
15,15,16025.599999999851
16,15,16056.89999999985
16,15,16088.19999999985
16,15,16119.499999999849
16,15,16150.799999999848
16,15,16182.099999999848
16,15,16213.399999999847
16,15,16244.699999999846
16,15,16275.999999999845
16,15,16307.299999999845
16,15,16338.599999999844
16,15,16369.899999999843
16,15,16401.199999999844
16,15,16432.499999999844
16,15,16463.799999999843
16,15,16495.099999999842
16,15,16526.39999999984
16,15,16557.69999999984
16,15,16588.99999999984
16,15,16620.29999999984
16,15,16651.59999999984
16,15,16682.899999999838
16,15,16714.199999999837
16,15,16745.499999999836
16,15,16776.799999999836
16,15,16808.099999999835
16,15,16839.399999999834
16,15,16870.699999999833
16,15,16901.999999999833
16,15,16933.299999999832
16,15,16964.59999999983
16,15,16995.89999999983
16,15,17027.19999999983
16,15,17058.49999999983
16,15,17089.79999999983
16,15,17121.099999999828
16,15,17152.399999999827
16,15,17183.699999999826
16,15,17214.999999999825
16,15,17246.299999999825
16,15,17277.599999999824
16,15,17308.899999999823
16,15,17340.199999999822
16,15,17371.49999999982
16,15,17402.79999999982
16,15,17434.09999999982
16,15,17465.39999999982
16,15,17496.69999999982
16,15,17527.999999999818
16,15,17559.299999999817
16,15,17590.599999999817
16,15,17621.899999999816
16,15,17653.199999999815
16,15,17684.499999999814
16,15,17715.799999999814
16,15,17747.099999999813
16,15,17778.399999999812
16,15,17809.69999999981
16,15,17840.99999999981
16,15,17872.29999999981
16,15,17903.59999999981
16,15,17934.89999999981
16,15,17966.199999999808
16,15,17997.499999999807
16,15,18028.799999999806
16,15,18060.099999999806
16,15,18091.399999999805
16,15,18122.699999999804
16,15,18153.999999999804
16,15,18185.299999999803
16,15,18216.599999999802
16,15,18247.8999999998
16,15,18279.1999999998
16,15,18310.4999999998
16,15,18341.7999999998
16,15,18373.0999999998
16,15,18404.399999999798
16,15,18435.699999999797
16,15,18466.999999999796
16,15,18498.299999999796
17,15,18529.599999999795
19,15,18560.899999999794
22,15,18592.199999999793
25,15,18623.499999999793
26,15,18654.799999999792
26,15,18686.09999999979
26,15,18717.39999999979
26,15,18748.69999999979
26,15,18779.99999999979
26,15,18811.29999999979
26,15,18842.599999999788
26,15,18873.899999999787
26,15,18905.199999999786
26,15,18936.499999999785
25,15,18967.799999999785
25,15,18999.099999999784
24,15,19030.399999999783
